 ,Players with the Highest 
Combined World Record Scores,,,,Players With the Most Records ,,,,Tanks with the Highest
 Combined Record Scores,,,,Players with the Highest World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on HAS+LAS,,,,Most Common Tanks on the HAS,,,,Players with the Highest 
Combined Event Record Scores,,,,Players With the Most Event Records ,,,,Tanks with the Highest
 Combined Event Record Scores,,,,Players with the Highest Event World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on EAS,,,,Players with the Highest 
Combined Incog Record Scores,,,,Players With the Most Incog Records ,,,,Tanks with the Highest
 Combined Incog Record Scores,,,,Players with the Highest Incog World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on IAS,,,,Players with the most times on Time Trials ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Tank,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,# of times

,24,Awootube,43960071,,24,🎋,12,,24,Commander,41941532,,24,Anak (5 WR),3888324.6,,24,Mr.Chemistry,63,,24,Bushwhacker,53,,24,Anto,8227754,,21,jah,5,,24,Octo Tank,9926809,,24,buff barricade (17 WR),818845.2941176471,,23,Cipher,3,,24,lifey,5353592,,20,Zeo'Xe,2,,24,Auto Cruiser,8943593,,,,,,21,DevinSucksAtLife,1,,10,2not1🌹,1
,25,Para,43384779,,24,bum,12,,25,Auto Builder,41757140,,25,Rog456 (15 WR),3827574.7333333334,,25,Damocles,60,,25,Auto Tri-Angle,52,,25,jah,8069087,,21,Mine,5,,25,Auto Overseer,9879892,,25,geometrically dominated (12 WR),784353.6666666666,,23,Corrupt Y,3,,25,Marcus,4836360,,20,2not1🌹,2,,25,Octo Tank,8800899,,,,,,21,ExC,1,,10,Roman,1
,26,Marcus,41098322,,26,jax,11,,26,Mortar,41381069,,26,Thx m8 (8 WR),3791043.125,,25,Denied,60,,25,Gunner Trapper,52,,26,Damocles,7791686,,21,CX has cute feet,5,,26,Crossbow,9829045,,26,Armin Play YT (7 WR),716367.1428571428,,23,Damocles,3,,26,Peach Lover,4693632,,20,Maku,2,,26,Maleficitor,8446325,,,,,,21,Gizmic,1,,10,Chaos,1
,27,[LK],36848004,,26,🌷|retnuH,11,,27,Hexa Tank,41154034,,27,bean (6 WR),3703507,,25,Legenda,60,,27,Banshee,51,,27,CX has cute feet,7594634,,27,Otobus,4,,27,Conqueror,9678804,,,,,,23,Thx m8,3,,27,Askatasuna,4578102,,20,Peach Lover,2,,27,Auto-4,8387246,,,,,,21,HiYouHavePolio,1,,10,JellySnk,1
,28,Allan,36805830,,26,Damocles,11,,28,Auto Cruiser,41093215,,28,Denied (7 WR),3680086,,28,Stardust,59,,27,Falcon,51,,28,Micckey 😎,7116963,,27,Denied,4,,28,Shotgun,9622772,,,,,,23,e,3,,28,RAJA,4478115,,20,Hertz,2,,28,Bent Double,8286875,,,,,,21,Marcus,1,,10,bum,1
,29,2not1🌹,36291744,,29,Jackson,10,,29,Artillery,40899953,,29,Stardust (9 WR),3580238.222222222,,29,From Asia,55,,29,Penta Shot,50,,29,Corrupt Y,6785064,,27,Damocles,4,,29,Gunner Trapper,9616674,,,,,,23,uhhh ._.,3,,29,Gizmic,4177035,,20,hailstorm ;),2,,29,Banshee,7805270,,,,,,21,Nite,1,,10,pedal,1
,30,Jugg,33613958,,29,Neptuun,10,,30,Bent Hybrid,40366259,,30,Corrupt Y (20 WR),3499937.7,,29,Marcus,55,,30,Hexa Tank,49,,30,Quad,6605857,,27,𝕊ØυĻ,4,,30,Single,9348906,,,,,,23,⚔ Existence🌙,3,,30,DevinSucksAtLife,4062406,,20,truper,2,,30,Sniper,7616097,,,,,,21,Nyrox,1,,10,Sonder,1
,31,Stardust,32222144,,29,Nyrox,10,,31,Penta Shot,40334396,,31,132 (5 WR),3413347.6,,29,zo,55,,31,Predator,47,,31,Candy!,6092390,,27,WL9,4,,31,Sniper,9299877,,,,,,31,Catto,2,,31,2not1🌹,3600848,,31,Andycito123,1,,31,Shotgun,7563326,,,,,,21,Oue,1,,,,
,32,Ender,31564444,,29,Jugg,10,,32,Battleship,40230629,,32,Awootube (13 WR),3381543.923076923,,32,ejv,52,,32,Auto Builder,46,,32,Armin Play YT ,6006439,,27,LeVitate,4,,32,Auto Tri-Angle,9072930,,,,,,31,CrimsonAsItIs,2,,32,Nite,3233314,,31,Alif (ألف)🌷,1,,32,Mortar,7405001,,,,,,21,Para,1,,,,
,33,Anto,31390755,,33,Allan,9,,33,Armsman,39897101,,33,Jugg (10 WR),3361395.8,,33,Anto,51,,32,Basic,46,,33,Denied,5067658,,27,Sei,4,,33,Triple Shot,8998349,,,,,,31,Crown the Ö.,2,,33,cute sus,2820895,,31,squid lotion,1,,33,Factory,7348286,,,,,,21,Silvius,1,,,,
